Firm Name,Paid post appeal,Case closed count,Deduction fee,Deduction expense,Billed units fee,Billed expense,Billed fee,Paid fee,Paid expense,Cycle time,L100,L200,L300,L400,L500,Win rate proxy,Cost per case,Fee per unit,Cluster,Cluster_name,state_list,Firm_Profile
"Williams, Davis & Campbell, P.C.",12.24430556,5.262690189,9.482528531,6.972025014,10.39494532,9.133358891,12.7236819,12.32659291,9.056152525,7.523729796,0,0,0,1,1,0.672,7.107196128,10.27,3,Efficient Volume Handlers,"['IN', 'LA', 'CT', 'LA', 'MI']"," - Claims involve moderate severity with average demands around $18,960 and low offers averaging $321.
 - Soft tissue neck injuries are common, with some cases involving unclassified or insufficiently detailed injuries.
 - High attorney representation and ongoing fault disputes suggest a litigious posture with arbitration frequently requested.
 - Claims are complex with multiple parties, ongoing medical treatment, and coverage disputes, requiring detailed investigation and coordination.
 - A law firm with strong litigation and arbitration experience, particularly in handling multi-party and complex coverage cases, is best suited for these claims."
"Jackson & Murphy, LLP",14.0726019,3.63758616,8.519791812,7.915625604,8.830806134,10.05076035,11.26691443,10.84745434,9.871200387,6.794407393,1,1,0,1,1,0.657,7.556736338,11.43,1,High-Cost/ Underperformers,,#N/A
"Walker & Associates, LLP",14.64776925,5.159055299,8.784404153,6.311752958,8.158539147,10.02948608,10.5014055,10.33277074,9.853994216,7.422696422,1,1,0,1,1,0.845,5.665041646,10.41,3,Efficient Volume Handlers,"['IL', 'CT', 'MI']"," - Claims involve low severity with average offers around $7,979 and no initial demands or counters.  
 - Injuries include lower back, multiple neck injuries, and unclassified types, with no hospital treatments recorded.  
 - Negotiations are complex with disputes over liability, policy exclusions, and necessity of treatments.  
 - Claims are operationally intense with ongoing litigation, arbitration requests, and special handling for Medicare liens.  
 - A law firm experienced in complex litigation and insurance coverage disputes is best suited for these claims."
"Phillips & Associates, LLP",12.86550062,4.343805422,8.365646784,7.324694309,8.078378104,9.251726048,10.36926727,10.18003992,8.902171198,7.168371863,0,0,1,0,1,0.828,6.097287456,9.89,2,Outcome Specialists,,#N/A
"Williams, Martin & Partners",12.54708054,5.262690189,6.441871153,7.8158727,6.951360596,9.929827101,9.212265518,8.842678145,9.848052535,7.602825609,1,0,0,1,0,0.691,4.909709376,9.6,0,High-Value Core Firms,,#N/A
"Jackson & Associates, LLP",12.59141409,5.017279837,8.457965344,7.469819496,8.163226007,9.497527072,10.66214247,10.2839818,9.397826901,7.597933055,1,1,1,0,1,0.685,5.622102316,12.17,3,Efficient Volume Handlers,"['NY', 'FL', 'MI', 'IL', 'MI', 'IL']"," - Claims involve moderate severity with complex liability and coverage disputes.
 - Common injuries include multiple neck injuries and soft tissue damage, often requiring outpatient care.
 - High settlement demands and ongoing reimbursement disputes suggest a litigious posture.
 - Claims are operationally intensive due to medical liens, billing inconsistencies, and extensive documentation.
 - A law firm with expertise in complex liability, coverage disputes, and negotiation is best suited."
Edwards Taylor Law Group,11.71427647,2.48490665,9.728134261,6.801638922,8.9967337,9.377797837,11.52158407,11.20198405,9.239344652,7.756199625,1,1,0,0,1,0.726,8.935652179,12.49,1,High-Cost/ Underperformers,,#N/A
"Carter & Martin, LLP",11.36272831,4.406719247,8.202164588,6.277413869,7.469933495,9.226427281,9.931640999,9.676666623,9.152860612,7.396709457,1,0,0,1,0,0.775,5.750475203,11.73,2,Outcome Specialists,,#N/A
"Kennedy, Parker & Edwards, P.C.",14.33350198,4.219507705,8.348994634,7.066065866,7.59381742,10.1006345,10.08866378,9.915081581,9.874208576,7.99287022,0,0,1,0,1,0.841,6.384941416,12.13,0,High-Value Core Firms,,#N/A
"Scott, Garcia & Mitchell, P.C.",11.85089273,5.220355825,7.312073062,5.715678107,6.509603364,9.268366798,9.124284538,8.896374555,9.198474247,6.735328606,0,1,1,1,1,0.796,4.547541073,13.68,0,High-Value Core Firms,"['MI', 'NY', 'NJ']"," - Claims involve moderate severity with average offers around $29,000.
 - Injuries include neck and shoulder issues, with surgical intervention claims.
 - High attorney representation suggests a litigious approach with arbitration requests.
 - Claims are complex with ongoing fault disputes and new medical treatments introduced.
 - A law firm experienced in arbitration and complex liability disputes is best suited."
"White & Associates, LLP",14.17295806,2.564949357,9.007833659,7.35772838,8.556917624,9.696064164,11.02859603,10.92086918,9.618883405,6.984577422,1,1,1,0,1,0.898,8.676687852,11.84,1,High-Cost/ Underperformers,,#N/A
"Young, Henderson & Lewis, P.C.",13.18289587,2.890371758,7.157509602,5.773432908,7.688349991,9.367615879,10.16740177,9.785228654,9.13551445,7.412812296,1,1,1,0,0,0.682,7.37272124,11.93,1,High-Cost/ Underperformers,,#N/A
"Turner & Associates, LLP",13.490978,2.397895273,8.28743783,8.166772932,7.545712108,10.37524059,10.10561868,9.881499068,10.13415949,8.043852801,0,0,1,1,1,0.799,8.406527517,12.94,1,High-Cost/ Underperformers,,#N/A
"Jackson & Sanchez, LLP",11.63345114,3.912023005,7.951369172,6.133289577,8.596089396,10.18853904,10.86010569,10.56575714,9.94514232,7.116304854,0,0,0,1,1,0.745,7.104957238,9.62,1,High-Cost/ Underperformers,,#N/A
"Scott, Baker & Partners",12.76125634,4.615120517,6.514549715,8.058634222,6.9840309,10.04796402,9.219393271,8.981315811,9.768136219,8.052395189,0,1,0,0,1,0.788,5.542008366,9.36,0,High-Value Core Firms,,#N/A
"Roberts & Nelson, LLP",11.8324496,4.043051268,5.629023008,6.551665878,6.654938294,8.636122237,8.86396082,8.441607204,8.324573995,7.411344785,1,1,1,1,0,0.655,5.058726802,9.12,0,High-Value Core Firms,"['MI', 'MI']"," - Claims involve moderate complexity with ongoing liability disputes and multiple counteroffers.
 - Injury claims are primarily soft tissue or minor, with no hospital treatments recorded.
 - High attorney representation indicates a litigious approach with arbitration and depositions scheduled.
 - Suspected fraud and coverage limit issues suggest intensive investigation and legal scrutiny.
 - Best suited for law firms with strong litigation capabilities and experience in fraud detection."
Lewis Davis Law Group,13.26116938,4.795790546,7.391328918,7.780566321,7.035074919,9.794838859,9.289073915,8.886008146,9.579191287,7.710272427,0,0,1,1,1,0.668,5.202577094,9.53,0,High-Value Core Firms,['MI']," - High severity with significant exposure due to multiple vehicles involved.
 - Common injuries involve complex medical evidence and potential fraud indicators.
 - Negotiation is stalled and complicated by lien and liability disputes.
 - High complexity with intensive operational demands and ongoing investigations.
 - Best suited for a law firm experienced in complex, multi-party litigation and fraud detection."
Murphy Brown Law Group,13.42971397,4.454347296,8.806203881,7.574183671,8.767417915,10.34420525,11.23476049,10.88071608,10.09309293,7.719835944,1,1,1,0,1,0.702,6.814092741,11.79,3,Efficient Volume Handlers,['TN']," - High severity and exposure due to settlement demand exceeding policy limits.
 - Injuries and body parts are unspecified, indicating complex medical documentation.
 - Frequent attorney involvement suggests aggressive negotiation posture.
 - High complexity with multi-vehicle accident and arbitration preparation.
 - Best suited for a law firm experienced in high-stakes, complex litigation."
"Foster & Associates, LLP",13.54889536,4.644390899,6.210901236,5.8626648,6.498508028,9.162156974,8.845986017,8.556779222,8.859900237,8.025872765,1,0,1,1,1,0.749,4.786407822,10.47,0,High-Value Core Firms,,#N/A
"Garcia & Young, LLP",14.83656314,5.323009979,10.03275066,7.995266175,9.434429076,10.03034881,11.97184066,11.79630053,9.889113235,7.261955162,1,0,0,0,1,0.839,6.617964318,12.65,3,Efficient Volume Handlers,"['MI', 'TN', 'MI', 'MA']"," - Claims involve moderate bodily injury severity with ongoing therapy and soft tissue injuries.
 - High settlement demands often exceed policy limits, with zero initial offers and low counteroffers.
 - Multiple coverage disputes and liability disagreements complicate resolution and increase complexity.
 - Claims require detailed accident reconstruction and involve multi-vehicle collisions.
 - A law firm with expertise in complex liability and coverage disputes is best suited for these claims."
"Murphy & Associates, LLP",14.44223144,5.33753808,7.475186164,6.679398161,8.710159557,9.104211784,11.23877055,11.10298385,8.833219251,7.884749688,1,1,0,0,1,0.873,5.871413316,12.54,3,Efficient Volume Handlers,"['MD', 'CT', 'AR', 'NY', 'MI', 'MI']"," - Claims involve low severity with average demands around $3,912 and offers around $1,718.
 - Common injuries include shoulder, neck, and back pain, often disputed for treatment necessity.
 - Frequent settlement discussions and arbitration requests indicate a contentious negotiation posture.
 - Claims are complex with high operational intensity, involving coverage disputes and potential fraud investigations.
 - A law firm experienced in commercial auto claims and adept at handling complex negotiations is best suited."
"Carter & Murphy, LLP",14.16094212,4.382026635,9.208936387,6.207643905,9.050205657,9.813689205,11.4674916,11.33591689,9.657583178,6.862663766,1,1,1,1,0,0.877,7.138406577,11.22,3,Efficient Volume Handlers,['MA']," - Low severity with an average offer of $8,724.75 and no demands or counters.
 - Alleged shoulder injury requiring surgery indicates potential for higher medical costs.
 - Liability is disputed, suggesting a defensive negotiation posture.
 - Complexity is moderate due to disputed liability and pending lien resolution.
 - Best suited for a law firm with expertise in commercial liability and medical claims."
"Mitchell & Collins, LLP",12.87503689,3.63758616,8.197315697,6.095081043,7.855416763,8.777191582,10.40202154,10.18394031,8.585025657,6.903355615,0,1,1,1,0,0.804,6.758199029,12.77,2,Outcome Specialists,,#N/A
"Mitchell & Edwards, LLP",12.77509548,5.327876169,8.674034534,8.083146493,8.618290231,10.11946187,10.93328481,10.53133806,9.78104813,7.055390493,1,1,1,0,0,0.669,5.598792261,10.13,3,Efficient Volume Handlers,"['CT', 'ME']"," - Claims involve complex coverage disputes and policy exclusions.  
 - Injuries include chronic pain with insufficient classification details.  
 - Frequent attorney involvement indicates aggressive negotiation posture.  
 - High operational intensity due to lien issues and multi-vehicle investigations.  
 - Suited for law firms experienced in complex liability and coverage litigation."
"Roberts, Thompson & Partners",12.03143029,4.49980967,7.641473223,7.899791499,8.571219149,9.798769608,10.90329538,10.62655852,9.466444312,6.981943962,1,1,0,1,1,0.758,6.41217945,10.3,3,Efficient Volume Handlers,"['MI', 'CT', 'NY']"," - Claims involve moderate severity with demands exceeding policy limits.
 - Common injuries include soft tissue and multiple neck injuries.
 - High negotiation complexity with disputes over coverage and fault.
 - Claims require ongoing medical treatment monitoring and documentation.
 - Best suited for a law firm experienced in complex negotiations and coverage disputes."
"Foster & Brown, LLP",12.64789109,4.143134726,6.856335661,7.630723363,7.015918862,10.41267494,9.48698905,9.345898709,10.33635866,8.128257713,1,1,1,1,0,0.868,6.526480218,11.84,0,High-Value Core Firms,,#N/A
"Henderson, Mitchell & Campbell, P.C.",14.05556813,5.049856007,9.048149624,5.12663897,8.865726683,9.446067615,11.2333966,10.82990801,9.305994129,6.706813436,0,0,1,0,1,0.668,5.986049914,10.67,3,Efficient Volume Handlers,"['CT', 'GA', 'NY', 'MI']"," - Claims involve moderate severity with potential for exaggerated injury claims.
 - Common injuries include neck and back pain with soft tissue damage.
 - High complexity due to ongoing disputes, SIU involvement, and extensive documentation.
 - Low attorney representation but significant external counsel involvement in negotiations.
 - Best suited for law firms experienced in fraud detection and complex litigation management."
Jackson Parker Law Group,13.58304206,5.141663557,7.170511774,7.276998905,7.323955888,9.302140763,9.644941539,9.216806422,9.126595654,7.380018853,0,0,1,1,1,0.652,4.738739078,10.19,0,High-Value Core Firms,['MA']," - Severity is low with an average offer of $18,913.43 and no demand or counter offers.  
 - Common injury involves multiple neck injuries with pre-existing conditions complicating treatment.  
 - Litigation posture is proactive, with arbitration requested and ongoing negotiation discussions.  
 - Claim complexity is moderate due to new treatments and investigation into lost wages.  
 - A law firm with expertise in arbitration and managing claims with pre-existing conditions is ideal."
Walker Hughes Law Group,13.52006905,3.663561646,7.985899519,6.48419239,7.843864324,9.79786478,10.14217448,9.792325239,9.62249969,7.400021742,0,0,1,1,0,0.705,6.767665283,9.96,1,High-Cost/ Underperformers,,#N/A
"Baker & Mitchell, LLP",13.27194827,4.990432587,7.851447147,7.886288147,7.420093758,9.871809561,10.04642878,9.854803483,9.549297376,7.915092569,0,1,1,1,0,0.826,5.427545765,13.83,0,High-Value Core Firms,['CT']," - Low severity with minimal financial exposure due to single vehicle involvement.  
 - Common injury involves shoulder requiring surgery, with medical expenses in dispute.  
 - Negotiation is active with potential for arbitration due to contested injury details.  
 - Moderate complexity with involvement of third-party witness and need for detailed documentation.  
 - Best suited for law firms experienced in arbitration and medical expense disputes."
"Baker, Jackson & Williams, P.C.",12.83600877,5.370638028,8.640450991,6.838865974,8.62307637,9.441948002,10.88840357,10.73407551,9.227823645,7.91626779,1,1,0,1,1,0.857,5.572154032,9.64,3,Efficient Volume Handlers,"['IL', 'IN', 'ME']"," - Claims involve low severity with no financial demands or offers recorded.
 - Common injuries include soft tissue neck injuries and unspecified others.
 - Negotiations are complex, with disputes over medical necessity and billing.
 - Claims are operationally intense, involving SIU, arbitration, and extended litigation.
 - A law firm skilled in complex negotiations and SIU investigations is best suited."
